Type of traveling,Objective,Public/Private,Organization,Type of vehicle,Date,Unit,Total
road,within Bangkok,Public,ขสมก.,BMTA buses,27/02/2025,people,"538,208"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),27/02/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),27/02/2025,people,"367,607"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,27/02/2025,people,"13,475"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,27/02/2025,people,"23,452"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,27/02/2025,people,"25,469"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,27/02/2025,people,"2,814"
River,within Bangkok,Public,จท.,Regional boats,27/02/2025,people,"193,152"
Railway,Inter-provincial travel,Public,รฟท.,Trains,27/02/2025,people,"69,371"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,27/02/2025,people,"492,605"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,27/02/2025,people,"81,089"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,27/02/2025,people,"47,907"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,27/02/2025,people,"65,599"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,27/02/2025,people,"76,431"
Railway,within Bangkok,Public,กทม.,BTS electric trains,27/02/2025,people,"830,221"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,27/02/2025,people,"38,151"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,27/02/2025,people,"19,114"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,27/02/2025,people,"26,377"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,27/02/2025,people,"25,261"
Air,Inter-provincial travel,Public,ทย.,Regional airports,27/02/2025,people,"18,393"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,27/02/2025,people,272
Air,Inter-provincial travel,Public,กพท.,Samui Airport,27/02/2025,people,"4,112"
road,International traveling,Public,บขส.,Bus Inbound,27/02/2025,people,
road,International traveling,Public,บขส.,Bus Outbound,27/02/2025,people,
Railway,International traveling,Public,รฟท.,Train Inbound,27/02/2025,people,322
Railway,International traveling,Public,รฟท.,Train Outbound,27/02/2025,people,303
River,International traveling,Public,จท.,Border Port Inbound,27/02/2025,people,"2,116"
River,International traveling,Public,จท.,Border Port Outbound,27/02/2025,people,"2,077"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,27/02/2025,people,"70,191"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,27/02/2025,people,"68,228"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,27/02/2025,people,"16,586"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,27/02/2025,people,"17,082"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,27/02/2025,people,"21,620"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,27/02/2025,people,"24,908"
Air,International traveling,Public,ทย.,Regional Airports Inbound,27/02/2025,people,"1,486"
Air,International traveling,Public,ทย.,Regional Airports Outbound,27/02/2025,people,"1,744"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,28/02/2025,people,"90,856"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,28/02/2025,people,"5,342"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),28/02/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),28/02/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),28/02/2025,Units,"1,788,133"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),28/02/2025,Units,"1,861,120"
road,within Bangkok,Public,ขบ.,Category 4,28/02/2025,people,669
road,within Bangkok,Public,ขสมก.,BMTA buses,28/02/2025,people,"548,162"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),28/02/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),28/02/2025,people,"386,193"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,28/02/2025,people,"13,586"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,28/02/2025,people,"23,058"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,28/02/2025,people,"25,097"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,28/02/2025,people,"2,940"
River,within Bangkok,Public,จท.,Regional boats,28/02/2025,people,"195,511"
Railway,Inter-provincial travel,Public,รฟท.,Trains,28/02/2025,people,"83,589"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,28/02/2025,people,"521,701"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,28/02/2025,people,"85,168"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,28/02/2025,people,"52,884"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,28/02/2025,people,"73,311"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,28/02/2025,people,"81,784"
Railway,within Bangkok,Public,กทม.,BTS electric trains,28/02/2025,people,"892,895"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,28/02/2025,people,"43,100"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,28/02/2025,people,"19,456"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,28/02/2025,people,"28,996"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,28/02/2025,people,"27,381"
Air,Inter-provincial travel,Public,ทย.,Regional airports,28/02/2025,people,"20,620"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,28/02/2025,people,140
Air,Inter-provincial travel,Public,กพท.,Samui Airport,28/02/2025,people,"4,242"
road,International traveling,Public,บขส.,Bus Inbound,28/02/2025,people,559
road,International traveling,Public,บขส.,Bus Outbound,28/02/2025,people,"1,372"
Railway,International traveling,Public,รฟท.,Train Inbound,28/02/2025,people,363
Railway,International traveling,Public,รฟท.,Train Outbound,28/02/2025,people,361
River,International traveling,Public,จท.,Border Port Inbound,28/02/2025,people,"2,122"
River,International traveling,Public,จท.,Border Port Outbound,28/02/2025,people,"2,104"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,28/02/2025,people,"73,353"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,28/02/2025,people,"69,994"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,28/02/2025,people,"17,775"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,28/02/2025,people,"18,727"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,28/02/2025,people,"22,067"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,28/02/2025,people,"26,633"
Air,International traveling,Public,ทย.,Regional Airports Inbound,28/02/2025,people,924
Air,International traveling,Public,ทย.,Regional Airports Outbound,28/02/2025,people,"1,206"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,1/3/2025,people,"102,164"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,1/3/2025,people,"6,272"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),1/3/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),1/3/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),1/3/2025,Units,"1,523,570"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),1/3/2025,Units,"1,576,238"
road,within Bangkok,Public,ขบ.,Category 4,1/3/2025,people,"1,084"
road,within Bangkok,Public,ขสมก.,BMTA buses,1/3/2025,people,"444,604"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),1/3/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),1/3/2025,people,"300,768"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,1/3/2025,people,"6,999"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,1/3/2025,people,"7,271"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,1/3/2025,people,"25,076"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,1/3/2025,people,"3,740"
River,within Bangkok,Public,จท.,Regional boats,1/3/2025,people,"196,558"
Railway,Inter-provincial travel,Public,รฟท.,Trains,1/3/2025,people,"73,542"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,1/3/2025,people,"339,036"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,1/3/2025,people,"50,272"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,1/3/2025,people,"38,984"
Railway,within Bangkok,Public,รฟม.,Pink Line Electric Train,1/3/2025,people,"45,921"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,1/3/2025,people,"57,428"
Railway,within Bangkok,Public,กทม.,BTS electric trains,1/3/2025,people,"611,798"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,1/3/2025,people,"28,285"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,1/3/2025,people,"18,724"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,1/3/2025,people,"26,326"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,1/3/2025,people,"24,342"
Air,Inter-provincial travel,Public,ทย.,Regional airports,1/3/2025,people,"20,118"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,1/3/2025,people,135
Air,Inter-provincial travel,Public,กพท.,Samui Airport,1/3/2025,people,"4,064"
road,International traveling,Public,บขส.,Bus Inbound,1/3/2025,people,494
road,International traveling,Public,บขส.,Bus Outbound,1/3/2025,people,"1,673"
Railway,International traveling,Public,รฟท.,Train Inbound,1/3/2025,people,333
Railway,International traveling,Public,รฟท.,Train Outbound,1/3/2025,people,323
River,International traveling,Public,จท.,Border Port Inbound,1/3/2025,people,"2,321"
River,International traveling,Public,จท.,Border Port Outbound,1/3/2025,people,"2,415"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,1/3/2025,people,"71,895"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,1/3/2025,people,"72,805"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,1/3/2025,people,"16,143"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,1/3/2025,people,"16,994"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,1/3/2025,people,"23,422"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,1/3/2025,people,"26,979"
Air,International traveling,Public,ทย.,Regional Airports Inbound,1/3/2025,people,881
Air,International traveling,Public,ทย.,Regional Airports Outbound,1/3/2025,people,"1,218"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,2/3/2025,people,"95,960"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,2/3/2025,people,"1,664"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),2/3/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),2/3/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),2/3/2025,Units,"1,389,115"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),2/3/2025,Units,"1,423,471"
road,within Bangkok,Public,ขบ.,Category 4,2/3/2025,people,871
road,within Bangkok,Public,ขสมก.,BMTA buses,2/3/2025,people,"412,473"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),2/3/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),2/3/2025,people,"274,630"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,2/3/2025,people,"6,238"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,2/3/2025,people,"7,419"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,2/3/2025,people,"24,109"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,2/3/2025,people,"3,860"
River,within Bangkok,Public,จท.,Regional boats,2/3/2025,people,"194,443"
Railway,Inter-provincial travel,Public,รฟท.,Trains,2/3/2025,people,"77,688"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,2/3/2025,people,"287,826"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,2/3/2025,people,"43,160"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,2/3/2025,people,"33,179"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,2/3/2025,people,"39,065"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,2/3/2025,people,0
Railway,within Bangkok,Public,กทม.,BTS electric trains,2/3/2025,people,"528,014"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,2/3/2025,people,"26,082"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,2/3/2025,people,"18,752"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,2/3/2025,people,"28,848"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,2/3/2025,people,"24,156"
Air,Inter-provincial travel,Public,ทย.,Regional airports,2/3/2025,people,"19,608"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,2/3/2025,people,263
Air,Inter-provincial travel,Public,กพท.,Samui Airport,2/3/2025,people,"4,328"
road,International traveling,Public,บขส.,Bus Inbound,2/3/2025,people,684
road,International traveling,Public,บขส.,Bus Outbound,2/3/2025,people,"2,052"
Railway,International traveling,Public,รฟท.,Train Inbound,2/3/2025,people,249
Railway,International traveling,Public,รฟท.,Train Outbound,2/3/2025,people,348
River,International traveling,Public,จท.,Border Port Inbound,2/3/2025,people,"2,441"
River,International traveling,Public,จท.,Border Port Outbound,2/3/2025,people,"2,347"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,2/3/2025,people,"71,376"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,2/3/2025,people,"72,875"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,2/3/2025,people,"16,831"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,2/3/2025,people,"18,312"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,2/3/2025,people,"21,428"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,2/3/2025,people,"25,645"
Air,International traveling,Public,ทย.,Regional Airports Inbound,2/3/2025,people,775
Air,International traveling,Public,ทย.,Regional Airports Outbound,2/3/2025,people,"1,262"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,3/3/2025,people,"95,636"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,3/3/2025,people,"4,943"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),3/3/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),3/3/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),3/3/2025,Units,"1,498,382"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),3/3/2025,Units,"1,557,560"
road,within Bangkok,Public,ขบ.,Category 4,3/3/2025,people,374
road,within Bangkok,Public,ขสมก.,BMTA buses,3/3/2025,people,"541,091"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),3/3/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),3/3/2025,people,"365,087"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,3/3/2025,people,"13,585"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,3/3/2025,people,"23,167"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,3/3/2025,people,"24,962"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,3/3/2025,people,"3,774"
River,within Bangkok,Public,จท.,Regional boats,3/3/2025,people,"193,310"
Railway,Inter-provincial travel,Public,รฟท.,Trains,3/3/2025,people,"71,635"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,3/3/2025,people,"481,999"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,3/3/2025,people,"81,470"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,3/3/2025,people,"47,684"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,3/3/2025,people,"66,622"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,3/3/2025,people,"73,324"
Railway,within Bangkok,Public,กทม.,BTS electric trains,3/3/2025,people,"797,666"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,3/3/2025,people,"39,933"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,3/3/2025,people,"16,912"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,3/3/2025,people,"26,652"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,3/3/2025,people,"24,767"
Air,Inter-provincial travel,Public,ทย.,Regional airports,3/3/2025,people,"19,705"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,3/3/2025,people,127
Air,Inter-provincial travel,Public,กพท.,Samui Airport,3/3/2025,people,"4,117"
road,International traveling,Public,บขส.,Bus Inbound,3/3/2025,people,554
road,International traveling,Public,บขส.,Bus Outbound,3/3/2025,people,"1,985"
Railway,International traveling,Public,รฟท.,Train Inbound,3/3/2025,people,192
Railway,International traveling,Public,รฟท.,Train Outbound,3/3/2025,people,241
River,International traveling,Public,จท.,Border Port Inbound,3/3/2025,people,"2,322"
River,International traveling,Public,จท.,Border Port Outbound,3/3/2025,people,"2,322"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,3/3/2025,people,"66,214"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,3/3/2025,people,"67,481"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,3/3/2025,people,"16,184"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,3/3/2025,people,"16,093"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,3/3/2025,people,"18,685"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,3/3/2025,people,"22,899"
Air,International traveling,Public,ทย.,Regional Airports Inbound,3/3/2025,people,922
Air,International traveling,Public,ทย.,Regional Airports Outbound,3/3/2025,people,"1,180"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,4/3/2025,people,"74,461"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,4/3/2025,people,"1,323"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),4/3/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),4/3/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),4/3/2025,Units,"1,508,829"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),4/3/2025,Units,"1,570,185"
road,within Bangkok,Public,ขบ.,Category 4,4/3/2025,people,979
road,within Bangkok,Public,ขสมก.,BMTA buses,4/3/2025,people,"541,774"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),4/3/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),4/3/2025,people,"361,058"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,4/3/2025,people,"13,374"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,4/3/2025,people,"23,316"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,4/3/2025,people,"23,960"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,4/3/2025,people,"2,568"
River,within Bangkok,Public,จท.,Regional boats,4/3/2025,people,"181,136"
Railway,Inter-provincial travel,Public,รฟท.,Trains,4/3/2025,people,"66,450"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,4/3/2025,people,"486,130"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,4/3/2025,people,"82,418"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,4/3/2025,people,"47,022"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,4/3/2025,people,"66,211"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,4/3/2025,people,"73,716"
Railway,within Bangkok,Public,กทม.,BTS electric trains,4/3/2025,people,"812,206"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,4/3/2025,people,"38,229"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,4/3/2025,people,"16,918"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,4/3/2025,people,"24,295"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,4/3/2025,people,"22,945"
Air,Inter-provincial travel,Public,ทย.,Regional airports,4/3/2025,people,"16,825"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,4/3/2025,people,245
Air,Inter-provincial travel,Public,กพท.,Samui Airport,4/3/2025,people,"4,077"
road,International traveling,Public,บขส.,Bus Inbound,4/3/2025,people,549
road,International traveling,Public,บขส.,Bus Outbound,4/3/2025,people,"1,211"
Railway,International traveling,Public,รฟท.,Train Inbound,4/3/2025,people,218
Railway,International traveling,Public,รฟท.,Train Outbound,4/3/2025,people,219
River,International traveling,Public,จท.,Border Port Inbound,4/3/2025,people,"2,265"
River,International traveling,Public,จท.,Border Port Outbound,4/3/2025,people,"2,236"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,4/3/2025,people,"63,714"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,4/3/2025,people,"64,367"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,4/3/2025,people,"13,632"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,4/3/2025,people,"14,969"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,4/3/2025,people,"18,903"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,4/3/2025,people,"22,730"
Air,International traveling,Public,ทย.,Regional Airports Inbound,4/3/2025,people,720
Air,International traveling,Public,ทย.,Regional Airports Outbound,4/3/2025,people,"1,031"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,5/3/2025,people,"74,508"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,5/3/2025,people,"5,142"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),5/3/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),5/3/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),5/3/2025,Units,"1,688,426"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),5/3/2025,Units,"1,763,129"
road,within Bangkok,Public,ขบ.,Category 4,5/3/2025,people,928
road,within Bangkok,Public,ขสมก.,BMTA buses,5/3/2025,people,"539,990"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),5/3/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),5/3/2025,people,"364,561"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,5/3/2025,people,"13,327"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,5/3/2025,people,"23,218"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,5/3/2025,people,"24,382"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,5/3/2025,people,"2,614"
River,within Bangkok,Public,จท.,Regional boats,5/3/2025,people,"187,616"
Railway,Inter-provincial travel,Public,รฟท.,Trains,5/3/2025,people,"65,322"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,5/3/2025,people,"487,744"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,5/3/2025,people,"81,715"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,5/3/2025,people,"47,724"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,5/3/2025,people,"68,577"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,5/3/2025,people,"73,985"
Railway,within Bangkok,Public,กทม.,BTS electric trains,5/3/2025,people,"815,660"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,5/3/2025,people,"39,575"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,5/3/2025,people,"16,831"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,5/3/2025,people,"25,389"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,5/3/2025,people,"23,361"
Air,Inter-provincial travel,Public,ทย.,Regional airports,5/3/2025,people,"19,250"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,5/3/2025,people,133
Air,Inter-provincial travel,Public,กพท.,Samui Airport,5/3/2025,people,"4,064"
road,International traveling,Public,บขส.,Bus Inbound,5/3/2025,people,385
road,International traveling,Public,บขส.,Bus Outbound,5/3/2025,people,"1,584"
Railway,International traveling,Public,รฟท.,Train Inbound,5/3/2025,people,188
Railway,International traveling,Public,รฟท.,Train Outbound,5/3/2025,people,173
River,International traveling,Public,จท.,Border Port Inbound,5/3/2025,people,"2,478"
River,International traveling,Public,จท.,Border Port Outbound,5/3/2025,people,"2,351"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,5/3/2025,people,"66,330"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,5/3/2025,people,"64,419"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,5/3/2025,people,"15,580"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,5/3/2025,people,"14,780"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,5/3/2025,people,"18,138"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,5/3/2025,people,"20,277"
Air,International traveling,Public,ทย.,Regional Airports Inbound,5/3/2025,people,"1,287"
Air,International traveling,Public,ทย.,Regional Airports Outbound,5/3/2025,people,"1,574"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,6/3/2025,people,"74,508"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,6/3/2025,people,"5,061"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),6/3/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),6/3/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),6/3/2025,Units,"1,513,195"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),6/3/2025,Units,"1,577,962"
road,within Bangkok,Public,ขบ.,Category 4,6/3/2025,people,957
road,within Bangkok,Public,ขสมก.,BMTA buses,6/3/2025,people,"527,429"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),6/3/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),6/3/2025,people,"359,183"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,6/3/2025,people,"13,095"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,6/3/2025,people,"23,066"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,6/3/2025,people,"24,384"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,6/3/2025,people,"2,783"
River,within Bangkok,Public,จท.,Regional boats,6/3/2025,people,"190,194"
Railway,Inter-provincial travel,Public,รฟท.,Trains,6/3/2025,people,"67,179"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,6/3/2025,people,"488,375"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,6/3/2025,people,"80,350"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,6/3/2025,people,"48,113"
Railway,within Bangkok,Public,รฟม.,Pink Line Electric Train,6/3/2025,people,"68,807"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,6/3/2025,people,"73,136"
Railway,within Bangkok,Public,กทม.,BTS electric trains,6/3/2025,people,"799,360"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,6/3/2025,people,"38,964"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,6/3/2025,people,"18,205"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,6/3/2025,people,"25,871"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,6/3/2025,people,"25,419"
